date,trips,avg_dist,avg_fare,avg_dur,revenue
2023-04-14,118077,3.36,18.74,15.8,3294212.0
2023-04-15,112673,3.29,18.5,15.4,3007799.0
2023-04-16,93322,4.01,20.19,14.8,2719192.0
2023-04-17,93499,3.87,20.14,15.9,2780977.0
2023-04-18,110150,3.39,19.32,16.7,3153064.0
2023-04-19,112274,3.35,19.3,16.9,3212122.0
2023-04-20,119656,3.42,19.92,18.0,3522503.0
2023-04-21,110042,3.51,18.96,15.9,3118493.0
2023-04-22,111416,3.23,18.14,15.5,2924488.0
2023-04-23,92516,4.17,21.03,16.4,2802225.0
2023-04-24,95332,3.85,20.46,16.6,2881067.0
2023-04-25,108049,3.43,19.7,17.2,3145313.0
2023-04-26,115110,3.34,19.49,17.2,3322736.0
2023-04-27,119170,3.45,20.09,18.2,3530630.0
2023-04-28,117547,3.37,19.28,17.1,3364229.0
2023-04-29,103428,3.19,18.75,16.2,2785015.0
2023-04-30,88189,3.92,20.73,16.7,2621900.0
2023-05-01,95357,3.99,21.07,17.0,2948013.0
2023-05-02,109970,3.33,19.32,16.9,3145055.0
2023-05-03,114229,3.3,19.21,16.9,3262337.0
2023-05-04,120933,3.3,19.47,17.6,3491590.0
2023-05-05,115739,3.38,19.14,16.7,3291704.0
2023-05-06,115252,3.21,18.3,15.4,3044501.0
2023-05-07,95628,4.04,20.63,15.9,2839863.0
